"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"69",295917.5,274538.125,248730.5,321528.875,351174,342161,2014,"CHIS"
"70",113708,103607.625,93425.5,124042.375,135928,120122,2014,"CONG"
"71",495907,452990.25,413511,539061.5,584879,535508,2014,"CRLA"
"72",2202976.5,2027447.875,1823286.25,2393160.375,2618096.75,2189849,2014,"CUVA"
"73",499814,457693.875,415769.5,541749.5,595246.75,531315,2014,"DENA"
"74",893373.5,814477.125,728575,979761.25,1082471.25,1101312,2014,"DEVA"
"75",62031.5,57141.25,51812.25,67628.875,73925,64865,2014,"DRTO"
"76",943211.5,868026.75,787310.75,1028890.125,1139961.75,1110901,2014,"EVER"
"77",11648.5,10761.375,9759.75,12740.75,13894.75,12669,2014,"GAAR"
"78",1990120,1820055.625,1671819,2168738.625,2372474.5,2338528,2014,"GLAC"
"79",472574,432622.125,394987.25,512701.75,561537,500727,2014,"GLBA"
"80",88517,81079.375,73518,96083.5,106026.25,107526,2014,"GRBA"
"81",4854926,4427629.375,4016637.75,5268553.5,5785532.25,4756771,2014,"GRCA"
"82",264020,240917.25,219749.75,286473.5,312118.75,271774,2014,"GRSA"
"83",9164434,8401102.25,7612645.75,9919876.625,10806232.25,10099276,2014,"GRSM"
"84",2537022.5,2327703.125,2093904.25,2764213.25,3055250,2791392,2014,"GRTE"
"85",160571.5,147259.125,133596.5,175642,191577.5,166868,2014,"GUMO"
"86",1001704,921018.625,834909.75,1088354.125,1195712.5,1142040,2014,"HALE"
"87",1557795.5,1427919.125,1288360,1696189.625,1851831.75,1693005,2014,"HAVO"
"88",1297875,1185144,1082164.5,1405177.75,1546848.25,1424484,2014,"HOSP"
"89",19105,17552,15887.25,20811,22656.5,14560,2014,"ISRO"
"90",1358204,1236985.625,1125614,1474107.75,1609872.25,1589904,2014,"JOTR"
"91",38444.5,35314.5,31999,42060.375,46298.25,30896,2014,"KATM"
"92",284783.5,261139,236631,310344.375,339302.25,270666,2014,"KEFJ"
"93",553316.5,510436,458048.25,601492.375,662053,502268,2014,"KICA"
"94",18590.5,16537,14570,21021.5,24099,0,2014,"KOVA"
"95",15275.5,14015.375,12634.75,16577.25,18185,16100,2014,"LACL"
"96",388282,354725.875,322210,421831.625,466718.5,432977,2014,"LAVO"
"97",528558.5,484695.125,438568.5,576154.5,629231,522628,2014,"MACA"
"98",506963,463768.875,417488.25,554561.875,613010.75,501563,2014,"MEVE"
"99",1162925.5,1069429.25,975902,1259126.25,1383836.75,1264259,2014,"MORA"
"100",24222.5,21981.5,19819.5,26466.75,29046.5,23865,2014,"NOCA"
"101",15535,14124.875,12652.75,16958.125,18922,13953,2014,"NPSA"
"102",2825136,2588894,2340759.75,3088868.875,3402262,3243872,2014,"OLYM"
"103",655427.5,596199.75,539473.5,710226.625,779256.25,836799,2014,"PEFO"
"104",390320.5,359409.375,322863.25,424912,464738.5,429166,2014,"REDW"
"105",3341819.5,3064334,2770825.75,3632648.125,3998151.75,3434751,2014,"ROMO"
"106",640201,584919.875,527317.75,696441.375,767315.75,673572,2014,"SAGU"
"107",1005310,920834.25,837517.75,1096296,1201020,1039137,2014,"SEQU"
"108",1116386,1011706,917535.5,1222066.5,1357580,1255321,2014,"SHEN"
"109",575461.5,530108.75,484460.75,623802.875,682102,559580,2014,"THRO"
"110",444723.5,408632.75,365184.25,491010.75,547252.75,426930,2014,"VIIS"
"111",226377,207027.875,187857.75,246028.625,269655.25,239160,2014,"VOYA"
"112",520264,476917.875,432168,567926.625,629779,547022,2014,"WICA"
"113",72821.5,67088.75,60779,79199,87255,74722,2014,"WRST"
"114",3356300,3086168.375,2781940.5,3617567.5,3986630.75,3513484,2014,"YELL"
"115",4105689,3732427.375,3383055.75,4506271.375,4978079.75,3882642,2014,"YOSE"
"116",2774154.5,2556147.5,2319423.75,3008009.625,3321723.25,3189696,2014,"ZION"
"117",2497440,2276624.875,2047319.75,2765511.875,3076415.75,2811184,2015,"ACAD"
"118",1206368,1088378.125,970880.75,1330289.625,1457476.25,1399247,2015,"ARCH"
"119",887647.5,801284.75,715160.25,984276.625,1094814.25,989354,2015,"BADL"
"120",351385.5,317096.875,283392.75,390978.875,437842,381747,2015,"BIBE"
"121",470312.5,419520.25,377603.75,525161.625,598674,508164,2015,"BISC"
"122",171536.5,153473.5,135088,189998.125,213168.5,209166,2015,"BLCA"
"123",1521847.5,1360698.25,1197144.5,1680334.125,1890777,1745804,2015,"BRCA"
"124",537497,478572.625,432101.75,596264.75,658654,634607,2015,"CANY"
"125",673039.5,605766.375,536101.75,740999.625,838382.75,941029,2015,"CARE"
"126",408894.5,369238.5,326678,452658.875,501441.75,445720,2015,"CAVE"
"127",293243,263472.875,235399.25,323016,352995.25,324816,2015,"CHIS"
"128",115431.5,103516.5,92136.75,127463.25,142357,87513,2015,"CONG"
"129",535747.5,482574.75,429071.25,584426.875,656061,614712,2015,"CRLA"
"130",2275484,2021965.25,1787267.5,2491942.625,2749832,2284612,2015,"CUVA"
"131",411442,372687,338201.5,460751.625,513069.75,560757,2015,"DENA"
"132",984755,899239.875,777665.75,1095328.875,1203457.25,1154843,2015,"DEVA"
"133",60258.5,54607.75,48980.75,67274.375,74431.25,70862,2015,"DRTO"
"134",932813.5,843385,730996.5,1033680.75,1176177.5,1077427,2015,"EVER"
"135",11486,10426.375,9309,12761.25,14363,10745,2015,"GAAR"
"136",2234881,2005034.25,1790446.5,2464969.875,2757663.5,2366056,2015,"GLAC"
"137",441680.5,399433.75,356224,492654.75,548507.5,551353,2015,"GLBA"
"138",105547,94379.25,82811.75,117168.5,131062.5,116123,2015,"GRBA"
"139",4610323.5,4149562.875,3722163,5100414.375,5643180.25,5520736,2015,"GRCA"
"140",279680.5,250899.375,223753,303082.625,336178.75,299513,2015,"GRSA"
"141",9861481.5,8927400,7989339.5,10992454.875,12013991.75,10712674,2015,"GRSM"
"142",2659032,2402749.5,2144030,2920530.375,3193744.5,3149921,2015,"GRTE"
"143",163593.5,147731.125,131320.25,183102.25,208141.5,169535,2015,"GUMO"
"144",1072375,958417,846588,1180581.375,1314064.75,1216772,2015,"HALE"
"145",1481555.5,1340379.5,1167513.75,1619468.125,1796597,1832660,2015,"HAVO"
"146",1249194,1143634.875,1030941.25,1389480.375,1564575,1418162,2015,"HOSP"
"147",18251,16553.625,14676,20224.625,22419.75,18684,2015,"ISRO"
"148",1602173,1429727,1284549.75,1801910.875,2024723,2025756,2015,"JOTR"
"149",37016.5,33247.375,29171.5,41080.875,45762.25,37818,2015,"KATM"
"150",285729.5,259107.125,228569.5,316936.875,350508.25,296697,2015,"KEFJ"
"151",558739,502808.5,445235.75,626893.125,695951.75,468106,2015,"KICA"
"152",9107.5,8230,7309,10147,11273.25,0,2015,"KOVA"
"153",13191.5,12057.125,10856,14761.625,16420.25,17818,2015,"LACL"
"154",409435,371008.375,324871.5,447712.25,505692,468092,2015,"LAVO"
"155",480978.5,433319.625,379905.25,529955.5,598821.75,566895,2015,"MACA"
"156",528717,476652.25,423644,588503.125,649740.75,547325,2015,"MEVE"
